n,avg_memory
18670,1581168
18680,1581168
18690,1581168
18700,1581168
18710,1581168
18720,1581168
18730,1581168
18740,1581168
18750,1581168
18760,1581168
18770,1581168
18780,1581168
18790,1581168
18800,1581168
18810,1581168
18820,1581168
18830,1581168
18840,1581168
18850,1581168
18860,1581168
18870,1581168
18880,1581168
18890,1581168
18900,1581168
18910,1581168
18920,1581168
18930,1581168
18940,1581168
18950,1581168
18960,1581168
18970,1581168
18980,1581168
18990,1581168
19000,1581168
19010,1581168
19020,1581168
19030,1581168
19040,1581168
19050,1581168
19060,1581168
19070,1581168
19080,1581168
19090,1581168
19100,1581168
19110,1581168
19120,1581168
19130,1581168
19140,1581168
19150,1581168
19160,1581168
19170,1581168
19180,1581168
19190,1581168
19200,1581168
19210,1581168
19220,1581168
19230,1581168
19240,1581168
19250,1581168
19260,1581168
19270,1581168
19280,1581168
19290,1581168
19300,1581168
19310,1581168
19320,1581168
19330,1581168
19340,1581168
19350,1581168
19360,1581168
19370,1581168
19380,1581168
19390,1581168
19400,1581168
19410,1581168
19420,1581168
19430,1581168
19440,1581168
19450,1581168
19460,1581168
19470,1581168
19480,1581168
19490,1581168
19500,1581168
19510,1581168
19520,1581168
19530,1581168
19540,1581168
19550,1581168
19560,1581168
19570,1581168
19580,1581168
19590,1581168
19600,1581168
19610,1581168
19620,1581168
19630,1581168
19640,1581168
19650,1581168
19660,1581168
19670,1581168
19680,1581168
19690,1581168
19700,1581168
19710,1581168
19720,1581168
19730,1581168
19740,1581168
19750,1581168
19760,1581168
19770,1581168
19780,1581168
19790,1581168
19800,1581168
19810,1581168
19820,1581168
19830,1581168
19840,1581168
19850,1581168
19860,1581168
19870,1581168
19880,1581168
19890,1581168
19900,1581168
19910,1581168
19920,1581168
19930,1581168
19940,1581168
19950,1581168
19960,1581168
19970,1581168
19980,1581168
19990,1581168
20000,1581168
